alimentos;value_dieese;unit;sku
Carne;6.0;kg;["0036634","0034838","0040129"]
Leite;7.5;l;["1240183","1380459","5089116"]
Feijão;4.5;kg;["0468084","5991471","0221146","2155883","0781817"]
Arroz;3.0;kg;["0357852","0300438","0154093","6009229","4550280","1653366"]
Farinha;1.5;kg;["6058227","0299909","0249294","0249324"]
Batata;6.0;kg;["0287753"]
Legumes (Tomate);9.0;kg;["0357593","0287784"]
Pão francês;6.0;kg;["0313926","0056441"]
Café em pó;0.6;kg;["1914801","0250719","0590655","1344340","0183567","0561495","0250665","1914795","0463478","1855029"]
Frutas (Banana);9.0;kg;["0250474", "0250399"]
Açúcar;3.0;kg;["0248334","5977680","3995600","0353472"]
Banha/Óleo;0.75;kg;["1230147","6894818","0145091","1657401"]
Manteiga;0.75;kg;["6581282","2436593","4937531","4625971","1368031","1272457"]
